line,pred,y,n_fields,population
C1.497.70,8.990297834647164,-1.3790472,8,497
C1.454.174,8.989691579685541,6.4570227,8,454
C1.452.9,8.98758466831273,15.155033,8,452
C1.453.22,8.977811470982596,3.1571503,6,453
C1.454.111,8.975866027408937,5.495373,8,454
C1.463.137,8.971623457049052,7.3242736,6,463
C1.452.147,8.96786944472529,13.938706,7,452
C1.497.48,8.963820457573336,0.2928029,8,497
C1.479.118,8.957383319472735,-4.0639653,6,479
C1.454.42,8.951146536588046,7.310985,8,454
C1.479.34,8.934883547630244,-14.266449,6,479
C1.454.15,8.934655141860448,2.5548499,7,454
C1.479.44,8.9316407155698,-15.1284485,5,479
C1.496.127,8.927663297119475,17.56764,8,496
C1.479.129,8.9243245397691,0.23726809,6,479
C1.474.176,8.922650036932604,-1.8068243,8,474
C1.463.113,8.91963463663922,26.486607,6,463
C1.497.166,8.914211479467907,3.1733654,8,497
C1.452.142,8.908202325100252,11.614046,8,452
C1.497.168,8.904323868336853,-5.209076,7,497
C1.474.120,8.893606397592082,-6.8694744,8,474
C1.497.178,8.892566214134904,-7.0945845,8,497
C1.497.195,8.8903389638839,-1.898897,8,497
C1.463.5,8.883469629590783,13.96984,6,463
C1.463.13,8.870372086794099,11.7864065,6,463
C1.496.243,8.861564859267796,1.6100906,8,496
C1.453.78,8.855064054313873,12.177151,6,453
C1.479.110,8.853558268913297,-8.549582,6,479
C1.479.126,8.851104303154074,4.597411,5,479
C1.470.249,8.847767021601513,-2.8211663,8,470
C1.452.91,8.846364695894662,1.2248148,7,452
C1.479.123,8.84634549433708,-5.0116987,6,479
C1.479.54,8.843139828599908,3.1306849,6,479
C1.479.52,8.840045128670868,0.9621348,6,479
C1.497.33,8.839665743274855,-8.861335,8,497
C1.474.72,8.838740513677338,-0.90637434,8,474
C1.463.61,8.835309854545475,10.575857,6,463
C1.497.199,8.834002824498285,1.0214654,8,497
C1.479.106,8.831931896773538,-3.6316485,6,479
C1.454.109,8.827896838627554,-0.05899302,7,454
C1.479.136,8.824820882688144,-9.323765,6,479
C1.454.94,8.820180070967183,0.86557263,8,454
C1.452.115,8.811388874747117,1.5856969,6,452
C1.463.127,8.80952707044076,-0.7569265,6,463
C1.453.18,8.806482957886299,-9.790467,5,453
C1.470.70,8.802907529310987,-3.8083663,8,470
C1.496.244,8.802019994899409,7.4799533,8,496
C1.479.69,8.797754782454115,9.897518,6,479
C1.497.85,8.797717422277875,7.063528,8,497
C1.479.10,8.790002471718685,-1.2743152,6,479
C1.470.32,8.787710822998877,-5.6494474,7,470
C1.479.144,8.786223146938063,-2.6669402,12,479
C1.454.91,8.7859458760289,-7.76504,8,454
C1.454.98,8.776847401423769,-1.0989274,8,454
C1.470.223,8.775738810109686,-3.6080332,7,470
C1.497.16,8.754896776998166,8.66409,7,497
C1.459.288,8.750281193305842,9.9431095,5,459
C1.454.72,8.749443363293695,-3.646568,7,454
C1.470.209,8.742165092430376,-3.1471663,8,470
C1.463.64,8.739450748014777,4.05894,6,463
C1.479.83,8.738771778293534,-15.712202,5,479
C1.474.52,8.733492608895316,11.247854,7,474
C1.463.21,8.7332647817807,2.1808236,6,463
C1.463.37,8.728015942679555,12.122307,6,463
C1.470.96,8.722773917951832,-7.3605537,8,470
C1.453.126,8.72015624594136,0.3111548,5,453
C1.463.152,8.716572862450304,7.9181566,6,463
C1.463.115,8.71285128817304,30.969873,6,463
C1.487.45,8.70409172783254,-3.2862191,5,487
C1.463.158,8.696334930788375,1.4644068,6,463
C1.463.168,8.695321521097318,11.500724,6,463
C1.454.58,8.694873237021303,-11.640065,8,454
C1.454.53,8.694114009564624,-12.360903,8,454
C1.454.62,8.68899201596212,-11.151114,8,454
C1.452.77,8.682993606376519,1.9261832,8,452
C1.470.287,8.672340429756574,-1.9725475,7,470
C1.479.141,8.670503394617596,-10.994139,5,479
C1.487.81,8.665835869826994,-37.859375,3,487
C1.463.12,8.663162588850799,9.684957,6,463
C1.474.1,8.663054023412556,-7.505574,8,474
C1.470.261,8.659093195807676,9.811371,8,470
C1.470.172,8.643953630064205,-5.799366,8,470
C1.463.179,8.640999507273687,17.963657,6,463
C1.479.17,8.638391558192305,6.3377013,6,479
C1.470.145,8.636561060594646,0.9387463,8,470
C1.454.130,8.633605581091961,-3.3189898,8,454
C1.486.215,8.619839912844034,-4.376033,6,486
C1.497.183,8.616149899086103,-6.376572,8,497
C1.470.280,8.605941227274181,-6.099791,8,470
C1.459.274,8.605727984323929,2.8240814,6,459
C1.454.129,8.604867892606883,-4.7544537,7,454
